PLAYER_NAME,PER,TS%,USG%,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional,SEASON
Cason Wallace,12.3,.562,12.8,5.2,.133,-1.5,2.6,1.0,1.5,wallaca01,2024-25
Derrick Jones Jr.,13.5,.609,16.5,4.7,.120,-1.0,0.7,-0.3,0.8,jonesde02,2024-25
Rui Hachimura,13.6,.619,15.8,4.3,.110,-0.1,-0.6,-0.7,0.6,hachiru01,2024-25
RJ Barrett,16.5,.547,28.7,2.4,.061,1.2,-0.7,0.6,1.2,barrerj01,2024-25
Buddy Hield,12.3,.560,20.5,2.8,.073,-0.7,-0.3,-1.0,0.5,hieldbu01,2024-25
Trey Murphy III,17.3,.598,23.7,3.5,.091,2.1,-1.4,0.8,1.3,murphtr02,2024-25
Zaccharie Risacher,12.2,.558,20.9,1.8,.046,-1.7,-1.8,-3.5,-0.7,risacza01,2024-25
Andrew Wiggins,16.4,.566,24.5,4.0,.104,1.2,-0.3,0.9,1.4,wiggian01,2024-25
Andrew Wiggins,16.4,.566,23.5,3.2,.119,1.4,-0.4,1.0,1.0,wiggian01,2024-25
Andrew Wiggins,16.4,.566,26.7,0.8,.069,0.8,-0.1,0.7,0.4,wiggian01,2024-25
Isaiah Collier,9.7,.494,18.9,-0.8,-0.021,-3.8,-1.5,-5.3,-1.6,colliis01,2024-25
Keldon Johnson,15.6,.572,21.6,3.2,.083,0.0,-1.6,-1.6,0.2,johnske04,2024-25
Royce O'Neale,12.6,.585,15.5,2.8,.073,0.2,-0.1,0.1,1.0,onealro01,2024-25
P.J. Washington,14.0,.556,20.4,2.4,.062,-1.1,0.2,-0.9,0.5,washipj01,2024-25
CJ McCollum,15.8,.550,27.2,1.5,.038,1.2,-2.6,-1.4,0.3,mccolcj01,2024-25
Haywood Highsmith,9.9,.583,11.3,3.3,.088,-2.7,0.9,-1.9,0.1,highsha01,2024-25
Dorian Finney-Smith,10.1,.604,12.3,2.9,.078,-1.1,0.1,-1.0,0.5,finnedo01,2024-25
Dorian Finney-Smith,12.2,.613,14.2,1.1,.094,-0.1,0.1,0.0,0.3,finnedo01,2024-25
Dorian Finney-Smith,9.2,.598,11.5,1.8,.070,-1.6,0.1,-1.5,0.2,finnedo01,2024-25
Alex Sarr,12.9,.482,23.5,-0.3,-0.007,-2.2,-1.0,-3.3,-0.6,sarral01,2024-25
Kyrie Irving,19.9,.594,27.4,4.6,.124,3.9,-0.5,3.4,2.5,irvinky01,2024-25
Kyshawn George,8.8,.503,15.9,0.1,.003,-3.8,-0.3,-4.1,-0.9,georgky01,2024-25
Cameron Johnson,18.2,.632,22.9,5.1,.137,3.5,-0.4,3.1,2.3,johnsca02,2024-25
Duncan Robinson,11.8,.595,19.2,2.7,.071,-0.7,-1.1,-1.7,0.1,robindu01,2024-25
Kris Dunn,11.3,.531,12.7,4.0,.108,-2.8,3.4,0.6,1.2,dunnkr01,2024-25
Luka Dončić,24.1,.587,33.9,5.9,.160,5.5,1.2,6.7,3.9,doncilu01,2024-25
Luka Dončić,24.2,.584,33.1,2.5,.155,5.5,1.4,6.9,1.8,doncilu01,2024-25
Luka Dončić,23.9,.590,34.5,3.4,.164,5.5,1.1,6.5,2.1,doncilu01,2024-25
Scoot Henderson,12.5,.540,22.5,1.8,.049,-1.4,-0.8,-2.2,-0.1,hendesc01,2024-25
Wendell Carter Jr.,13.7,.544,16.0,4.6,.125,-2.2,0.9,-1.2,0.3,cartewe01,2024-25
Collin Sexton,16.6,.593,27.0,2.4,.066,1.7,-2.3,-0.6,0.6,sextoco01,2024-25
Mike Conley,13.3,.573,14.4,5.2,.142,-0.1,1.3,1.2,1.4,conlemi01,2024-25
Amir Coffey,11.2,.614,15.3,4.0,.111,-1.5,-0.2,-1.7,0.1,coffeam01,2024-25
Jimmy Butler,22.4,.626,20.8,8.7,.238,4.0,1.0,4.9,3.0,butleji01,2024-25
Jimmy Butler,22.8,.638,21.1,3.7,.233,4.2,0.6,4.8,1.3,butleji01,2024-25
Jimmy Butler,22.2,.617,20.6,4.9,.242,3.8,1.2,5.0,1.7,butleji01,2024-25
Aaron Wiggins,16.1,.596,20.3,5.4,.148,1.3,-0.2,1.1,1.4,wiggiaa01,2024-25
Walker Kessler,20.0,.660,13.7,5.4,.149,1.1,0.7,1.8,1.7,kesslwa01,2024-25
De'Andre Hunter,15.9,.623,22.8,4.4,.122,1.2,-0.8,0.4,1.0,huntede01,2024-25
De'Andre Hunter,15.8,.616,24.2,2.2,.100,0.9,-1.4,-0.4,0.4,huntede01,2024-25
De'Andre Hunter,16.2,.634,20.5,2.2,.157,1.6,0.0,1.6,0.6,huntede01,2024-25
Ochai Agbaji,12.0,.601,14.6,3.1,.087,-0.9,0.2,-0.7,0.5,agbajoc01,2024-25
Brandin Podziemski,14.4,.557,18.3,4.2,.117,-0.1,0.8,0.7,1.2,podzibr01,2024-25
Jabari Smith Jr.,12.6,.562,16.4,4.2,.117,-0.8,0.1,-0.7,0.6,smithja05,2024-25
Anthony Davis,26.3,.588,30.4,6.7,.188,3.9,1.5,5.4,3.2,davisan02,2024-25
Anthony Davis,27.1,.601,30.2,6.2,.207,4.5,1.5,6.0,2.9,davisan02,2024-25
Anthony Davis,21.7,.520,31.2,0.5,.088,1.2,1.3,2.5,0.3,davisan02,2024-25
Bradley Beal,15.2,.598,22.1,2.4,.068,-0.1,-1.0,-1.1,0.4,bealbr01,2024-25
Georges Niang,11.2,.607,17.9,2.9,.081,-1.1,-1.2,-2.3,-0.1,niangge01,2024-25
Georges Niang,11.1,.617,16.5,2.2,.099,-1.3,-0.5,-1.8,0.1,niangge01,2024-25
